,bpd,committee_size,extension,latency,minerblocksize
175,87.0,4.0,syncorazor,5.0,20.0
176,73.0,4.0,syncorazor,5.0,20.0
177,71.0,4.0,syncorazor,5.0,20.0
178,86.0,4.0,syncorazor,5.0,20.0
179,73.0,4.0,syncorazor,5.0,20.0
180,70.0,4.0,syncorazor,5.0,20.0
181,87.0,4.0,syncorazor,5.0,20.0
182,73.0,4.0,syncorazor,5.0,20.0
183,71.0,4.0,syncorazor,5.0,20.0
184,87.0,4.0,syncorazor,5.0,20.0
185,74.0,4.0,syncorazor,5.0,20.0
186,71.0,4.0,syncorazor,5.0,20.0
187,86.0,4.0,syncorazor,5.0,20.0
188,73.0,4.0,syncorazor,5.0,20.0
189,70.0,4.0,syncorazor,5.0,20.0
190,87.0,4.0,syncorazor,5.0,40.0
191,73.0,4.0,syncorazor,5.0,40.0
192,69.0,4.0,syncorazor,5.0,40.0
193,87.0,4.0,syncorazor,5.0,40.0
194,74.0,4.0,syncorazor,5.0,40.0
195,70.0,4.0,syncorazor,5.0,40.0
196,88.0,4.0,syncorazor,5.0,40.0
197,74.0,4.0,syncorazor,5.0,40.0
198,70.0,4.0,syncorazor,5.0,40.0
199,87.0,4.0,syncorazor,5.0,40.0
200,73.0,4.0,syncorazor,5.0,40.0
201,70.0,4.0,syncorazor,5.0,40.0
202,89.0,4.0,syncorazor,5.0,40.0
203,76.0,4.0,syncorazor,5.0,40.0
204,72.0,4.0,syncorazor,5.0,40.0
205,88.0,4.0,syncorazor,5.0,40.0
206,74.0,4.0,syncorazor,5.0,40.0
207,70.0,4.0,syncorazor,5.0,40.0
208,87.0,4.0,syncorazor,5.0,40.0
209,74.0,4.0,syncorazor,5.0,40.0
210,70.0,4.0,syncorazor,5.0,40.0
211,87.0,4.0,syncorazor,5.0,40.0
212,74.0,4.0,syncorazor,5.0,40.0
213,70.0,4.0,syncorazor,5.0,40.0
214,87.0,4.0,syncorazor,5.0,40.0
215,73.0,4.0,syncorazor,5.0,40.0
216,70.0,4.0,syncorazor,5.0,40.0
217,87.0,4.0,syncorazor,5.0,40.0
218,73.0,4.0,syncorazor,5.0,40.0
219,69.0,4.0,syncorazor,5.0,40.0
220,87.0,4.0,syncorazor,5.0,40.0
221,74.0,4.0,syncorazor,5.0,40.0
222,70.0,4.0,syncorazor,5.0,40.0
223,87.0,4.0,syncorazor,5.0,40.0
224,74.0,4.0,syncorazor,5.0,40.0
225,70.0,4.0,syncorazor,5.0,40.0
226,87.0,4.0,syncorazor,5.0,40.0
227,73.0,4.0,syncorazor,5.0,40.0
228,69.0,4.0,syncorazor,5.0,40.0
229,87.0,4.0,syncorazor,5.0,40.0
230,75.0,4.0,syncorazor,5.0,40.0
231,70.0,4.0,syncorazor,5.0,40.0
232,89.0,4.0,syncorazor,5.0,40.0
233,75.0,4.0,syncorazor,5.0,40.0
234,71.0,4.0,syncorazor,5.0,40.0
235,86.0,4.0,syncorazor,5.0,40.0
236,72.0,4.0,syncorazor,5.0,40.0
237,69.0,4.0,syncorazor,5.0,40.0
238,87.0,4.0,syncorazor,5.0,40.0
239,73.0,4.0,syncorazor,5.0,40.0
240,69.0,4.0,syncorazor,5.0,40.0
241,87.0,4.0,syncorazor,5.0,40.0
242,73.0,4.0,syncorazor,5.0,40.0
243,70.0,4.0,syncorazor,5.0,40.0
244,87.0,4.0,syncorazor,5.0,40.0
245,74.0,4.0,syncorazor,5.0,40.0
246,70.0,4.0,syncorazor,5.0,40.0
247,87.0,4.0,syncorazor,5.0,40.0
248,73.0,4.0,syncorazor,5.0,40.0
249,70.0,4.0,syncorazor,5.0,40.0
250,87.0,4.0,syncorazor,5.0,40.0
251,73.0,4.0,syncorazor,5.0,40.0
252,69.0,4.0,syncorazor,5.0,40.0
253,88.0,4.0,syncorazor,5.0,40.0
254,74.0,4.0,syncorazor,5.0,40.0
255,70.0,4.0,syncorazor,5.0,40.0
256,87.0,4.0,syncorazor,5.0,40.0
257,74.0,4.0,syncorazor,5.0,40.0
258,70.0,4.0,syncorazor,5.0,40.0
259,88.0,4.0,syncorazor,5.0,40.0
260,74.0,4.0,syncorazor,5.0,40.0
261,70.0,4.0,syncorazor,5.0,40.0
262,87.0,4.0,syncorazor,5.0,40.0
263,74.0,4.0,syncorazor,5.0,40.0
264,70.0,4.0,syncorazor,5.0,40.0
265,87.0,4.0,syncorazor,5.0,40.0
266,73.0,4.0,syncorazor,5.0,40.0
267,69.0,4.0,syncorazor,5.0,40.0
268,87.0,4.0,syncorazor,5.0,40.0
269,74.0,4.0,syncorazor,5.0,40.0
270,70.0,4.0,syncorazor,5.0,40.0
271,87.0,4.0,syncorazor,5.0,40.0
272,73.0,4.0,syncorazor,5.0,40.0
273,70.0,4.0,syncorazor,5.0,40.0
274,87.0,4.0,syncorazor,5.0,40.0
275,74.0,4.0,syncorazor,5.0,40.0
276,69.0,4.0,syncorazor,5.0,40.0
277,86.0,4.0,syncorazor,5.0,40.0
278,73.0,4.0,syncorazor,5.0,40.0
279,69.0,4.0,syncorazor,5.0,40.0
280,86.0,4.0,syncorazor,5.0,60.0
281,73.0,4.0,syncorazor,5.0,60.0
282,70.0,4.0,syncorazor,5.0,60.0
283,86.0,4.0,syncorazor,5.0,60.0
284,73.0,4.0,syncorazor,5.0,60.0
285,70.0,4.0,syncorazor,5.0,60.0
286,86.0,4.0,syncorazor,5.0,60.0
287,73.0,4.0,syncorazor,5.0,60.0
288,70.0,4.0,syncorazor,5.0,60.0
289,87.0,4.0,syncorazor,5.0,60.0
290,73.0,4.0,syncorazor,5.0,60.0
291,70.0,4.0,syncorazor,5.0,60.0
292,86.0,4.0,syncorazor,5.0,60.0
293,74.0,4.0,syncorazor,5.0,60.0
294,70.0,4.0,syncorazor,5.0,60.0
295,86.0,4.0,syncorazor,5.0,60.0
296,72.0,4.0,syncorazor,5.0,60.0
297,70.0,4.0,syncorazor,5.0,60.0
298,87.0,4.0,syncorazor,5.0,60.0
299,74.0,4.0,syncorazor,5.0,60.0
300,71.0,4.0,syncorazor,5.0,60.0
301,87.0,4.0,syncorazor,5.0,60.0
302,73.0,4.0,syncorazor,5.0,60.0
303,71.0,4.0,syncorazor,5.0,60.0
304,86.0,4.0,syncorazor,5.0,60.0
305,73.0,4.0,syncorazor,5.0,60.0
306,70.0,4.0,syncorazor,5.0,60.0
307,86.0,4.0,syncorazor,5.0,60.0
308,73.0,4.0,syncorazor,5.0,60.0
309,70.0,4.0,syncorazor,5.0,60.0
310,86.0,4.0,syncorazor,5.0,60.0
311,73.0,4.0,syncorazor,5.0,60.0
312,70.0,4.0,syncorazor,5.0,60.0
313,86.0,4.0,syncorazor,5.0,60.0
314,74.0,4.0,syncorazor,5.0,60.0
315,70.0,4.0,syncorazor,5.0,60.0
316,86.0,4.0,syncorazor,5.0,60.0
317,73.0,4.0,syncorazor,5.0,60.0
318,69.0,4.0,syncorazor,5.0,60.0
319,87.0,4.0,syncorazor,5.0,60.0
320,73.0,4.0,syncorazor,5.0,60.0
321,70.0,4.0,syncorazor,5.0,60.0
